药品名称,厂家,start_date,end_date,减少数量,增加数量,期初金额(进价),期初金额占比,previous_增加数量
丁苯酞氯化钠注射液,石药恩必普,2018-01-01,2018-01-07,8.0,14.0,0.0,1.0,0.0
丁苯酞氯化钠注射液,石药恩必普,2018-01-08,2018-01-14,0.0,0.0,0.0,1.0,14.0
丁苯酞氯化钠注射液,石药恩必普,2018-01-15,2018-01-21,0.0,0.0,0.0,1.0,0.0
丁苯酞氯化钠注射液,石药恩必普,2018-01-22,2018-01-28,0.0,0.0,0.0,1.0,0.0
丁苯酞氯化钠注射液,石药恩必普,2018-01-29,2018-02-04,28.0,28.0,0.0,1.0,0.0
丁苯酞氯化钠注射液,石药恩必普,2018-02-05,2018-02-11,40.0,58.0,0.0,1.0,28.0
丁苯酞氯化钠注射液,石药恩必普,2018-02-12,2018-02-18,0.0,10.0,5619.06,1.0,58.0
丁苯酞氯化钠注射液,石药恩必普,2018-02-19,2018-02-25,0.0,0.0,8740.76,1.0,10.0
丁苯酞氯化钠注射液,石药恩必普,2018-02-26,2018-03-04,28.0,14.0,8740.76,1.0,0.0
丁苯酞氯化钠注射液,石药恩必普,2018-03-05,2018-03-11,0.0,0.0,4370.38,1.0,14.0
丁苯酞氯化钠注射液,石药恩必普,2018-03-12,2018-03-18,0.0,0.0,4370.38,1.0,0.0
丁苯酞氯化钠注射液,石药恩必普,2018-03-19,2018-03-25,0.0,0.0,4370.38,1.0,0.0
丁苯酞氯化钠注射液,石药恩必普,2018-03-26,2018-04-01,14.0,14.0,4370.38,1.0,0.0
丁苯酞氯化钠注射液,石药恩必普,2018-04-02,2018-04-08,14.0,14.0,4370.38,1.0,14.0
丁苯酞氯化钠注射液,石药恩必普,2018-04-09,2018-04-15,0.0,0.0,4370.38,1.0,14.0
丁苯酞氯化钠注射液,石药恩必普,2018-04-16,2018-04-22,14.0,0.0,4370.38,1.0,0.0
丁苯酞氯化钠注射液,石药恩必普,2018-04-23,2018-04-29,0.0,14.0,0.0,1.0,0.0
丁苯酞氯化钠注射液,石药恩必普,2018-04-30,2018-05-06,0.0,0.0,4370.38,1.0,14.0
丁苯酞氯化钠注射液,石药恩必普,2018-05-07,2018-05-13,0.0,0.0,4370.38,1.0,0.0
丁苯酞氯化钠注射液,石药恩必普,2018-05-14,2018-05-20,14.0,0.0,4370.38,1.0,0.0
丁苯酞氯化钠注射液,石药恩必普,2018-05-21,2018-05-27,0.0,0.0,0.0,1.0,0.0
丁苯酞氯化钠注射液,石药恩必普,2018-05-28,2018-06-03,28.0,28.0,0.0,1.0,0.0
丁苯酞氯化钠注射液,石药恩必普,2018-06-04,2018-06-10,0.0,0.0,0.0,1.0,28.0
丁苯酞氯化钠注射液,石药恩必普,2018-06-11,2018-06-17,0.0,0.0,0.0,1.0,0.0
丁苯酞氯化钠注射液,石药恩必普,2018-06-18,2018-06-24,0.0,0.0,0.0,1.0,0.0
丁苯酞氯化钠注射液,石药恩必普,2018-06-25,2018-07-01,42.0,42.0,0.0,1.0,0.0
丁苯酞氯化钠注射液,石药恩必普,2018-07-02,2018-07-08,0.0,0.0,0.0,1.0,42.0
丁苯酞氯化钠注射液,石药恩必普,2018-07-09,2018-07-15,14.0,28.0,0.0,1.0,0.0
丁苯酞氯化钠注射液,石药恩必普,2018-07-16,2018-07-22,14.0,14.0,4370.38,1.0,28.0
丁苯酞氯化钠注射液,石药恩必普,2018-07-23,2018-07-29,28.0,14.0,4370.38,1.0,14.0
丁苯酞氯化钠注射液,石药恩必普,2018-07-30,2018-08-05,0.0,0.0,0.0,1.0,14.0
丁苯酞氯化钠注射液,石药恩必普,2018-08-06,2018-08-12,10.0,10.0,0.0,1.0,0.0
丁苯酞氯化钠注射液,石药恩必普,2018-08-13,2018-08-19,0.0,0.0,0.0,1.0,10.0
丁苯酞氯化钠注射液,石药恩必普,2018-08-20,2018-08-26,0.0,0.0,0.0,1.0,0.0
丁苯酞氯化钠注射液,石药恩必普,2018-08-27,2018-09-02,0.0,0.0,0.0,1.0,0.0
丁苯酞氯化钠注射液,石药恩必普,2018-09-03,2018-09-09,0.0,0.0,0.0,1.0,0.0
丁苯酞氯化钠注射液,石药恩必普,2018-09-10,2018-09-16,0.0,0.0,0.0,1.0,0.0
丁苯酞氯化钠注射液,石药恩必普,2018-09-17,2018-09-23,0.0,14.0,0.0,1.0,0.0
丁苯酞氯化钠注射液,石药恩必普,2018-09-24,2018-09-30,14.0,14.0,4370.38,1.0,14.0
丁苯酞氯化钠注射液,石药恩必普,2018-10-01,2018-10-07,0.0,0.0,4370.38,1.0,14.0
丁苯酞氯化钠注射液,石药恩必普,2018-10-08,2018-10-14,14.0,14.0,4370.38,1.0,0.0
丁苯酞氯化钠注射液,石药恩必普,2018-10-15,2018-10-21,0.0,0.0,4370.38,1.0,14.0
丁苯酞氯化钠注射液,石药恩必普,2018-10-22,2018-10-28,28.0,28.0,4370.38,1.0,0.0
丁苯酞氯化钠注射液,石药恩必普,2018-10-29,2018-11-04,24.0,10.0,4370.38,1.0,28.0
丁苯酞氯化钠注射液,石药恩必普,2018-11-05,2018-11-11,10.0,10.0,0.0,1.0,10.0
丁苯酞氯化钠注射液,石药恩必普,2018-11-12,2018-11-18,0.0,0.0,0.0,1.0,10.0
丁苯酞氯化钠注射液,石药恩必普,2018-11-19,2018-11-25,0.0,0.0,0.0,1.0,0.0
丁苯酞氯化钠注射液,石药恩必普,2018-11-26,2018-12-02,14.0,14.0,0.0,1.0,0.0
丁苯酞氯化钠注射液,石药恩必普,2018-12-03,2018-12-09,20.0,34.0,0.0,1.0,14.0
丁苯酞氯化钠注射液,石药恩必普,2018-12-10,2018-12-16,14.0,14.0,4370.38,1.0,34.0
丁苯酞氯化钠注射液,石药恩必普,2018-12-17,2018-12-23,14.0,10.0,4370.38,1.0,14.0
丁苯酞氯化钠注射液,石药恩必普,2018-12-24,2018-12-30,10.0,0.0,3121.7,1.0,10.0
丁苯酞氯化钠注射液,石药恩必普,2019-01-07,2019-01-13,0.0,0.0,8740.76,1.0,0.0
丁苯酞氯化钠注射液,石药恩必普,2019-01-14,2019-01-20,0.0,0.0,8740.76,1.0,0.0
丁苯酞氯化钠注射液,石药恩必普,2019-01-21,2019-01-27,0.0,0.0,8740.76,1.0,0.0
丁苯酞氯化钠注射液,石药恩必普,2019-01-28,2019-02-03,24.0,6.0,8740.76,1.0,0.0
丁苯酞氯化钠注射液,石药恩必普,2019-02-04,2019-02-10,0.0,0.0,3121.7,1.0,6.0
丁苯酞氯化钠注射液,石药恩必普,2019-02-11,2019-02-17,26.0,42.0,3121.7,1.0,0.0
丁苯酞氯化钠注射液,石药恩必普,2019-02-18,2019-02-24,14.0,0.0,8116.42,1.0,42.0
丁苯酞氯化钠注射液,石药恩必普,2019-02-25,2019-03-03,0.0,24.0,3746.04,1.0,0.0
丁苯酞氯化钠注射液,石药恩必普,2019-03-04,2019-03-10,0.0,0.0,11238.12,1.0,24.0
丁苯酞氯化钠注射液,石药恩必普,2019-03-11,2019-03-17,20.0,20.0,11238.12,1.0,0.0
丁苯酞氯化钠注射液,石药恩必普,2019-03-18,2019-03-24,10.0,0.0,11238.12,1.0,20.0
丁苯酞氯化钠注射液,石药恩必普,2019-03-25,2019-03-31,0.0,0.0,8116.42,1.0,0.0
丁苯酞氯化钠注射液,石药恩必普,2019-04-01,2019-04-07,26.0,0.0,8116.42,1.0,0.0
