start_date,减少数量,增加数量,期初金额(进价),期初金额占比,药品名称,厂家,previous_增加数量
2018-01-31,36.0,42.0,0.0,1.0,丁苯酞氯化钠注射液,石药恩必普,
2018-02-28,68.0,82.0,8740.76,1.0,丁苯酞氯化钠注射液,石药恩必普,42.0
2018-03-31,14.0,14.0,4370.38,1.0,丁苯酞氯化钠注射液,石药恩必普,82.0
2018-04-30,28.0,28.0,4370.38,1.0,丁苯酞氯化钠注射液,石药恩必普,14.0
2018-05-31,42.0,28.0,0.0,1.0,丁苯酞氯化钠注射液,石药恩必普,28.0
2018-06-30,42.0,42.0,0.0,1.0,丁苯酞氯化钠注射液,石药恩必普,28.0
2018-07-31,56.0,56.0,0.0,1.0,丁苯酞氯化钠注射液,石药恩必普,42.0
2018-08-31,10.0,10.0,0.0,1.0,丁苯酞氯化钠注射液,石药恩必普,56.0
2018-09-30,14.0,28.0,4370.38,1.0,丁苯酞氯化钠注射液,石药恩必普,10.0
2018-10-31,66.0,52.0,4370.38,1.0,丁苯酞氯化钠注射液,石药恩必普,28.0
2018-11-30,24.0,24.0,0.0,1.0,丁苯酞氯化钠注射液,石药恩必普,52.0
2018-12-31,58.0,58.0,3121.7,1.0,丁苯酞氯化钠注射液,石药恩必普,24.0
2019-01-31,24.0,6.0,8740.76,1.0,丁苯酞氯化钠注射液,石药恩必普,58.0
2019-02-28,40.0,66.0,3746.04,1.0,丁苯酞氯化钠注射液,石药恩必普,6.0
2019-03-31,30.0,20.0,8116.42,1.0,丁苯酞氯化钠注射液,石药恩必普,66.0
2019-04-30,114.0,122.0,10613.78,1.0,丁苯酞氯化钠注射液,石药恩必普,20.0
2019-05-31,94.0,84.0,8116.42,1.0,丁苯酞氯化钠注射液,石药恩必普,122.0
2019-06-30,10.0,0.0,7492.08,1.0,丁苯酞氯化钠注射液,石药恩必普,84.0
2019-07-31,106.0,120.0,0.0,1.0,丁苯酞氯化钠注射液,石药恩必普,0.0
2019-08-31,48.0,54.0,7492.08,1.0,丁苯酞氯化钠注射液,石药恩必普,120.0
2019-09-30,60.0,58.0,9989.44,1.0,丁苯酞氯化钠注射液,石药恩必普,54.0
2019-10-31,24.0,24.0,9989.44,1.0,丁苯酞氯化钠注射液,石药恩必普,58.0
2019-11-30,0.0,0.0,9989.44,1.0,丁苯酞氯化钠注射液,石药恩必普,24.0
2019-12-31,48.0,52.0,0.0,1.0,丁苯酞氯化钠注射液,石药恩必普,0.0
2020-01-31,34.0,50.0,7492.08,1.0,丁苯酞氯化钠注射液,石药恩必普,52.0
2020-02-29,0.0,0.0,7492.08,1.0,丁苯酞氯化钠注射液,石药恩必普,50.0
2020-03-31,0.0,0.0,8116.42,1.0,丁苯酞氯化钠注射液,石药恩必普,0.0
2020-04-30,44.0,24.0,4994.72,1.0,丁苯酞氯化钠注射液,石药恩必普,0.0
2020-05-31,32.0,42.0,4994.72,1.0,丁苯酞氯化钠注射液,石药恩必普,24.0
2020-06-30,17.0,26.0,624.34,1.0,丁苯酞氯化钠注射液,石药恩必普,42.0
2020-07-31,52.0,48.0,1873.02,1.0,丁苯酞氯化钠注射液,石药恩必普,26.0
2020-08-31,34.0,34.0,1873.02,1.0,丁苯酞氯化钠注射液,石药恩必普,48.0
2020-09-30,16.0,100.0,12486.8,1.0,丁苯酞氯化钠注射液,石药恩必普,34.0
2020-10-31,84.0,0.0,12486.8,1.0,丁苯酞氯化钠注射液,石药恩必普,100.0
2020-11-30,34.0,50.0,6867.74,1.0,丁苯酞氯化钠注射液,石药恩必普,0.0
2020-12-31,62.0,62.0,2497.36,1.0,丁苯酞氯化钠注射液,石药恩必普,50.0
2021-01-31,0.0,0.0,6867.74,1.0,丁苯酞氯化钠注射液,石药恩必普,62.0
2021-02-28,0.0,100.0,38084.74,1.0,丁苯酞氯化钠注射液,石药恩必普,0.0
2021-03-31,171.0,122.0,10147.0,1.0,丁苯酞氯化钠注射液,石药恩必普,100.0
2021-04-30,28.0,0.0,6255.0,1.0,丁苯酞氯化钠注射液,石药恩必普,122.0
2021-05-31,425.0,620.0,2780.0,1.0,丁苯酞氯化钠注射液,石药恩必普,0.0
2021-06-30,680.0,440.0,0.0,1.0,丁苯酞氯化钠注射液,石药恩必普,620.0
2021-07-31,510.0,700.0,50040.0,1.0,丁苯酞氯化钠注射液,石药恩必普,440.0
2021-08-31,670.0,600.0,4170.0,1.0,丁苯酞氯化钠注射液,石药恩必普,700.0
2021-09-30,850.0,1000.0,26410.0,1.0,丁苯酞氯化钠注射液,石药恩必普,600.0
2021-10-31,330.0,240.0,33360.0,1.0,丁苯酞氯化钠注射液,石药恩必普,1000.0
2021-11-30,1150.0,1200.0,16680.0,1.0,丁苯酞氯化钠注射液,石药恩必普,240.0
2021-12-31,1200.0,1400.0,55600.0,1.0,丁苯酞氯化钠注射液,石药恩必普,1200.0
2022-01-31,1330.0,1500.0,113980.0,1.0,丁苯酞氯化钠注射液,石药恩必普,1400.0
2022-02-28,1370.0,1240.0,47260.0,1.0,丁苯酞氯化钠注射液,石药恩必普,1500.0
2022-03-31,1250.0,1200.0,68110.0,1.0,丁苯酞氯化钠注射液,石药恩必普,1240.0
2022-04-30,1390.0,1320.0,72280.0,1.0,丁苯酞氯化钠注射液,石药恩必普,1200.0
2022-05-31,1770.0,1880.0,82010.0,1.0,丁苯酞氯化钠注射液,石药恩必普,1320.0
2022-06-30,1830.0,2000.0,66720.0,1.0,丁苯酞氯化钠注射液,石药恩必普,1880.0
2022-07-31,1640.0,1600.0,77840.0,1.0,丁苯酞氯化钠注射液,石药恩必普,2000.0
2022-08-31,2160.0,2000.0,55600.0,1.0,丁苯酞氯化钠注射液,石药恩必普,1600.0
2022-09-30,1160.0,1600.0,111200.0,1.0,丁苯酞氯化钠注射液,石药恩必普,2000.0
2022-10-31,1280.0,1000.0,83400.0,1.0,丁苯酞氯化钠注射液,石药恩必普,1600.0
2022-11-30,1120.0,1240.0,83400.0,1.0,丁苯酞氯化钠注射液,石药恩必普,1000.0
2022-12-31,1080.0,1600.0,161240.0,1.0,丁苯酞氯化钠注射液,石药恩必普,1240.0
2023-01-31,1360.0,800.0,61160.0,1.0,丁苯酞氯化钠注射液,石药恩必普,1600.0
2023-02-28,1513.0,1913.0,105640.0,1.0,丁苯酞氯化钠注射液,石药恩必普,800.0
2023-03-31,3273.0,3033.0,98078.4,1.0,丁苯酞氯化钠注射液,石药恩必普,1913.0
2023-04-30,1640.0,2000.0,112089.6,1.0,丁苯酞氯化钠注射液,石药恩必普,3033.0
2023-05-31,1480.0,1680.0,116760.0,1.0,丁苯酞氯化钠注射液,石药恩必普,2000.0
2023-06-30,1520.0,800.0,70056.0,1.0,丁苯酞氯化钠注射液,石药恩必普,1680.0
2023-07-31,3040.0,3320.0,79396.8,1.0,丁苯酞氯化钠注射液,石药恩必普,800.0
2023-08-31,1680.0,1320.0,60715.2,1.0,丁苯酞氯化钠注射液,石药恩必普,3320.0
2023-09-30,1700.0,1860.0,32692.8,1.0,丁苯酞氯化钠注射液,石药恩必普,1320.0
2023-10-31,1440.0,1000.0,32692.8,1.0,丁苯酞氯化钠注射液,石药恩必普,1860.0
2023-11-30,1440.0,1600.0,32692.8,1.0,丁苯酞氯化钠注射液,石药恩必普,1000.0
2023-12-31,1480.0,1600.0,42033.6,1.0,丁苯酞氯化钠注射液,石药恩必普,1600.0
2024-01-31,2520.0,2440.0,79396.8,1.0,丁苯酞氯化钠注射液,石药恩必普,1600.0
2024-02-29,1400.0,1600.0,79396.8,1.0,丁苯酞氯化钠注射液,石药恩必普,2440.0
2024-03-31,2360.0,2240.0,84067.2,1.0,丁苯酞氯化钠注射液,石药恩必普,1600.0
2024-04-30,2360.0,2120.0,65385.6,1.0,丁苯酞氯化钠注射液,石药恩必普,2240.0
2024-05-31,1680.0,1760.0,46704.0,1.0,丁苯酞氯化钠注射液,石药恩必普,2120.0
2024-06-30,1920.0,2120.0,60715.2,1.0,丁苯酞氯化钠注射液,石药恩必普,1760.0
2024-07-31,2640.0,3000.0,84067.2,1.0,丁苯酞氯化钠注射液,石药恩必普,2120.0
2024-08-31,2160.0,2240.0,84067.2,1.0,丁苯酞氯化钠注射液,石药恩必普,3000.0
2018-01-31,1786.0,1546.0,178195.2,1.0,丁苯酞软胶囊,石药恩必普,
2018-02-28,600.0,0.0,66823.2,1.0,丁苯酞软胶囊,石药恩必普,1546.0
2018-03-31,600.0,720.0,66823.2,1.0,丁苯酞软胶囊,石药恩必普,0.0
2018-04-30,840.0,600.0,44548.8,1.0,丁苯酞软胶囊,石药恩必普,720.0
2018-05-31,480.0,360.0,66823.2,1.0,丁苯酞软胶囊,石药恩必普,600.0
2018-06-30,528.0,840.0,57913.44,1.0,丁苯酞软胶囊,石药恩必普,360.0
2018-07-31,876.0,960.0,28956.72,1.0,丁苯酞软胶囊,石药恩必普,840.0
2018-08-31,540.0,240.0,40093.92,1.0,丁苯酞软胶囊,石药恩必普,960.0
2018-09-30,816.0,1200.0,44548.8,1.0,丁苯酞软胶囊,石药恩必普,240.0
2018-10-31,840.0,600.0,89097.6,1.0,丁苯酞软胶囊,石药恩必普,1200.0
2018-11-30,480.0,600.0,22274.4,1.0,丁苯酞软胶囊,石药恩必普,600.0
2018-12-31,840.0,960.0,44548.8,1.0,丁苯酞软胶囊,石药恩必普,600.0
2019-01-31,1080.0,1200.0,200469.6,1.0,丁苯酞软胶囊,石药恩必普,960.0
2019-02-28,360.0,0.0,89097.6,1.0,丁苯酞软胶囊,石药恩必普,1200.0
2019-03-31,600.0,720.0,89097.6,1.0,丁苯酞软胶囊,石药恩必普,0.0
2019-04-30,1080.0,960.0,89097.6,1.0,丁苯酞软胶囊,石药恩必普,720.0
2019-05-31,720.0,840.0,22274.4,1.0,丁苯酞软胶囊,石药恩必普,960.0
2019-06-30,720.0,720.0,44548.8,1.0,丁苯酞软胶囊,石药恩必普,840.0
2019-07-31,1080.0,1200.0,22274.4,1.0,丁苯酞软胶囊,石药恩必普,720.0
2019-08-31,720.0,840.0,44548.8,1.0,丁苯酞软胶囊,石药恩必普,1200.0
2019-09-30,1080.0,1320.0,22274.4,1.0,丁苯酞软胶囊,石药恩必普,840.0
2019-10-31,840.0,480.0,89097.6,1.0,丁苯酞软胶囊,石药恩必普,1320.0
2019-11-30,840.0,960.0,89097.6,1.0,丁苯酞软胶囊,石药恩必普,480.0
2019-12-31,1080.0,1200.0,89097.6,1.0,丁苯酞软胶囊,石药恩必普,960.0
2020-01-31,960.0,960.0,89097.6,1.0,丁苯酞软胶囊,石药恩必普,1200.0
2020-02-29,240.0,0.0,66823.2,1.0,丁苯酞软胶囊,石药恩必普,960.0
2020-03-31,480.0,0.0,44548.8,1.0,丁苯酞软胶囊,石药恩必普,0.0
2020-04-30,720.0,960.0,89097.6,1.0,丁苯酞软胶囊,石药恩必普,0.0
2020-05-31,840.0,480.0,66823.2,1.0,丁苯酞软胶囊,石药恩必普,960.0
2020-06-30,844.0,1083.0,89097.6,1.0,丁苯酞软胶囊,石药恩必普,480.0
2020-07-31,720.0,960.0,89097.6,1.0,丁苯酞软胶囊,石药恩必普,1083.0
2020-08-31,1080.0,1200.0,111372.0,1.0,丁苯酞软胶囊,石药恩必普,960.0
2020-09-30,960.0,1080.0,111372.0,1.0,丁苯酞软胶囊,石药恩必普,1200.0
2020-10-31,720.0,240.0,111372.0,1.0,丁苯酞软胶囊,石药恩必普,1080.0
2020-11-30,840.0,1080.0,66823.2,1.0,丁苯酞软胶囊,石药恩必普,240.0
2020-12-31,720.0,600.0,22274.4,1.0,丁苯酞软胶囊,石药恩必普,1080.0
2021-01-31,720.0,1080.0,44548.8,1.0,丁苯酞软胶囊,石药恩必普,600.0
2021-02-28,806.29,740.29,89097.6,1.0,丁苯酞软胶囊,石药恩必普,1080.0
2021-03-31,2028.0,1854.0,19353.6,1.0,丁苯酞软胶囊,石药恩必普,740.29
2021-04-30,1440.0,1800.0,29030.4,1.0,丁苯酞软胶囊,石药恩必普,1854.0
2021-05-31,1560.0,1320.0,48384.0,1.0,丁苯酞软胶囊,石药恩必普,1800.0
2021-06-30,1632.0,1440.0,28062.72,1.0,丁苯酞软胶囊,石药恩必普,1320.0
