药品名称,厂家,增加数量,减少数量,期初金额(进价),start_date,end_date
阿莫西林胶囊,华北制药,0.0,0.0,0.0,2018-01-01,2018-01-07
阿莫西林胶囊,珠海联邦,900.0,-330.0,3628.0,2018-01-01,2018-01-07
阿莫西林双氯西林钠,琼通用三洋,0.0,0.0,0.0,2018-01-01,2018-01-07
氨苄西林丙磺舒,长春盖普,0.0,0.0,0.0,2018-01-01,2018-01-07
注射用氨苄西林钠,山东鲁抗,0.0,0.0,0.0,2018-01-01,2018-01-07
氨苄西林,齐鲁制药,0.0,0.0,0.0,2018-01-01,2018-01-07
苯唑西林钠,沪新先锋,0.0,0.0,0.0,2018-01-01,2018-01-07
注射用苯唑西林钠,石家庄中诺,0.0,0.0,0.0,2018-01-01,2018-01-07
注射用苄星青霉素,江西东风,0.0,0.0,0.0,2018-01-01,2018-01-07
呋布西林钠,琼通用三洋,0.0,0.0,0.0,2018-01-01,2018-01-07
呋布西林钠,山西博康,0.0,0.0,0.0,2018-01-01,2018-01-07
注射用磺苄西林钠,辽宁科泰,0.0,0.0,0.0,2018-01-01,2018-01-07
美洛西林钠,琼通用三洋,0.0,0.0,0.0,2018-01-01,2018-01-07
美洛西林,山西仟源,0.0,0.0,0.0,2018-01-01,2018-01-07
哌拉西林钠,齐鲁制药,0.0,0.0,0.0,2018-01-01,2018-01-07
注射用青霉素钠,华北制药厂,0.0,-100.0,3080.0,2018-01-01,2018-01-07
甲苯磺酸尼拉帕利胶囊,再鼎医药,0.0,0.0,0.0,2018-01-01,2018-01-07
艾考恩丙替片,吉利德,0.0,0.0,0.0,2018-01-01,2018-01-07
羧苄西林钠,沪新先锋,0.0,0.0,0.0,2018-01-01,2018-01-07
注射用氨曲南,海口市制药,600.0,0.0,546.0,2018-01-01,2018-01-07
头孢氨苄,苏豪森,0.0,0.0,0.0,2018-01-01,2018-01-07
头孢氨苄,鲁抗医药,0.0,0.0,0.0,2018-01-01,2018-01-07
头孢氨苄胶囊,华北华民药业,0.0,0.0,0.0,2018-01-01,2018-01-07
头孢拉定胶囊[泛捷复],沪施贵宝,0.0,0.0,0.0,2018-01-01,2018-01-07
头孢拉定胶囊,鲁新华制药,0.0,0.0,0.0,2018-01-01,2018-01-07
头孢拉定胶囊,扬子江,200.0,-100.0,1725.1,2018-01-01,2018-01-07
头孢硫脒,白云山总厂,0.0,0.0,0.0,2018-01-01,2018-01-07
头孢噻吩钠,乐山三九,0.0,0.0,0.0,2018-01-01,2018-01-07
头孢替唑钠,天津新丰,0.0,0.0,0.0,2018-01-01,2018-01-07
注射用头孢唑林钠,山东鲁抗,0.0,0.0,720.0,2018-01-01,2018-01-07
注射用头孢唑林钠,石家庄中诺,0.0,0.0,0.0,2018-01-01,2018-01-07
注射用头孢呋辛钠,意大利,5400.0,-5400.0,72414.0,2018-01-01,2018-01-07
头孢呋辛钠,丽珠制药厂,0.0,0.0,0.0,2018-01-01,2018-01-07
注射用头孢呋辛钠,意大利依塞,1200.0,-1200.0,48380.0,2018-01-01,2018-01-07
头孢呋辛酯片,广州白云山,200.0,-30.0,0.0,2018-01-01,2018-01-07
头孢呋辛酯片,浙京新,0.0,0.0,0.0,2018-01-01,2018-01-07
头孢呋辛酯片,珠海联邦,0.0,0.0,0.0,2018-01-01,2018-01-07
头孢呋辛酯片,葛兰素史克,0.0,0.0,0.0,2018-01-01,2018-01-07
盐酸头孢甲肟,日本武田,0.0,0.0,0.0,2018-01-01,2018-01-07
盐酸头孢甲肟,浙尖峰药业,0.0,0.0,0.0,2018-01-01,2018-01-07
头孢克洛,印度兰伯西,0.0,0.0,0.0,2018-01-01,2018-01-07
