药品名称,厂家,RMSE,MAE,SMAPE,R²
w3鱼油脂肪乳注射液,华瑞,414.35526703862996,321.8220039367676,34.07287153720547,-0.013793432966980879
一次性使用注射笔用针头,苏碧迪,12015.998623013129,10661.899682617188,81.55349524547152,0.05677354946197155
一清胶囊,成都康弘,1236.5982665752767,992.0276275634766,37.92900458025636,-0.17158969555718784
丁硼乳膏,宁波立华,241.57860287567564,198.9358383178711,39.99438910415417,-1.158648708690945
丁苯酞氯化钠注射液,石药恩必普,1641.952437414129,1508.8507643699645,188.2444141612561,-5.430191595778408
丁苯酞软胶囊,石药恩必普,1065.3626054368635,984.9262451171875,67.50406056249945,-5.161294113831097
丁酸氢化可的松乳膏,津太平洋,111.442538094197,77.8751632027004,29.8092452533277,-0.1156608256253493
七叶洋地黄双苷滴眼液,德国施图伦,6231.00114448604,4868.329016113281,36.89538138806771,-0.49524399222352966
丙戊酸钠片,鲁仁和堂,164.2210014835973,139.49692026774088,96.76507038758089,-1.757923662224043
丙氨酰谷氨酰胺注射液,华瑞,541.2722516138589,443.56282272338865,73.08566892850304,0.4260230740545605
丙氨酰谷氨酰胺注射液,哈三联,241.16519060489318,211.61514148712158,113.66111945319071,-4.512335244004783
丙泊酚中_长链脂肪乳注射液,费森,678.7297948180264,588.9326278686524,95.83580274559613,0.5151172902231663
中_长链脂肪乳注射液[C624],华瑞,1015.5942424260844,933.7375732421875,95.66675224063592,-5.906557248005658
丹参,统货,31.132082878478958,25.81532814025879,77.15524597909098,-0.40619934169727445
乙磺酸尼达尼布软胶囊,勃林格殷格翰,30.579102660682874,21.039368947347004,56.818295927134876,-0.7969964431454881
二甲硅油乳剂,四川健能,1677.6198450959469,1261.6695106907894,32.75188379094693,-0.8661975065310012
二硫化硒洗剂,苏迪赛诺,362.90044696879704,299.7641719818115,68.44966611517754,-0.12459920312893247
二羟丙茶碱注射液,沪信谊金朱,335.05117099226635,300.47048530578616,118.8097549165785,-3.8791744829979935
云南白药气雾剂,云南白药,141.83054552243675,104.83401374816894,129.88478845689963,-0.4877595317034784
人凝血因子8,华兰,508.2669146620262,416.0677116394043,75.1639674723114,-0.8696546991084952
人白介素2注射液,京四环,1025.6352040482998,694.0578564453125,59.50713596327864,-0.059722117900326
人血白蛋白,同路生物,1900.6290958900656,1342.9543186068536,80.10232315050449,-1.693183271076156
人血白蛋白,百特,3884.7929449604903,3222.3198486328124,45.79087530861216,-0.6621117759424191
他克莫司滴眼液,日本千寿,24.981222032250997,18.302277386188507,70.55867830367816,-0.88584139029219
他克莫司胶囊[普乐可复],爱尔兰,444.6407102524772,331.9855331420898,33.09778752557316,-0.6600594499602832
他达拉非片,苏天士力,298.46565008940564,245.48531987116888,46.256008715519464,-1.0627961348817085
仙鹤草,统货,7.569624229773255,6.642000312805176,50.55159447213081,-3.728281867240752
低分子肝素钠注射液,意大利,9435.776553147429,8194.955908203125,97.37429576586332,0.08769195061768498
依巴斯汀片,西班牙艾美,879.5541854062021,758.1365463256836,74.94376445653634,0.7614210230250616
依帕司他片,南京海陵,3889.967499113014,2729.78388671875,57.26406511717093,-0.8061998793623735
依托咪酯乳状注射液,江苏恩华,2326.9950716883427,1884.7763061523438,35.524673570437834,-0.58323244098067
依托度酸缓释片,双鹭,1826.1958464436032,1529.056170654297,63.80677764363221,-2.4685957596606083
依西美坦片,辉瑞,224.29216366316714,161.4535304069519,75.51132088289427,-1.001315829149016
依诺肝素钠注射液,赛诺菲,4943.954124993866,3819.9377502441407,59.49818813910659,0.3088771523849224
依那西普注射液,辉瑞,332.97786367554016,274.07856840245864,32.39084600568163,-1.8865763789825674
保妇康栓,海南碧凯,667.5227090706363,583.1134323120117,31.367580469484967,-1.3051303843760498
信迪利单抗注射液,信达生物,106.18138052800724,88.4775736408849,54.05100183580544,-1.67017126250298
克林霉素磷酸酯凝胶,鲁方明,733.3068645232773,652.833251953125,71.06449637146379,-2.985263080548579
克痤隐酮凝胶,合肥立方,357.671571084379,293.6752506256104,56.060200838968576,-0.16789126993871806
党参,统货,52.83848287320437,46.28118637084961,99.85910439095325,-0.1844561466288992
八珍颗粒,宁波立华,535.4558876949998,396.07990555763246,101.65439338835975,-1.8785024822699947
养心氏片,青岛国风,742.6342080677997,483.01820068359376,39.2393811497879,-0.03693796530474058
养血清脑颗粒,津天士力,610.2749053294489,464.6176280975342,56.822543290987106,-0.35772792131267717
冻干人凝血因子8,绿十字中国,247.53035565683209,176.45768374204636,,-0.3392435826854743
利伐沙班片,德国拜耳,912.9752014004592,666.485856628418,54.272732936239855,0.12464141551945795
利可君片,苏吉贝尔,627.4731726867903,406.6337089538574,38.13645972782276,-0.31066984076125537
利奈唑胺葡萄糖注射液,费森尤斯,409.43109714412344,383.49594802856444,134.70323230128122,-5.830465893062257
利妥昔单抗注射液,沪复宏汉霖,168.4475698593087,133.58121390964675,32.33457591498282,-0.39214010309957414
利巴韦林气雾剂,沪信谊总厂,2254.8009336795985,1644.0970573425293,71.2699473421818,-0.2671365367136582
利拉鲁肽注射液,诺和诺德,187.8939743097858,148.3897943998638,52.72589682356649,-1.2248094663488827
利格列汀片,勃林格殷格翰,2433.1157507030834,1744.052455357143,38.335930581145696,-0.42495539751472355
制五味子,统货,14.231434346085873,11.916876754760743,66.79275129997193,-2.67377458836909
制香附,统货,20.35929719662503,18.453281841278077,104.75856082791441,-4.116184413516368
北沙参,统货,8.826384119902695,7.404984035491943,124.37664604321725,-0.5908861136719612
华蟾素片,皖金蟾生化,1077.2282089297366,800.9757998704911,102.15816084632306,-1.3292747050423745
单硝酸异山梨酯缓释片,锡阿斯利康,939.9775121873761,864.4164489746094,88.35422204386244,-0.1839463747636949
单硝酸异山梨酯缓释片,齐鲁制药,1333.9404034321128,1071.787192400764,130.7006010937489,-4.436081855054868
卡前列素氨丁三醇注射液,常州四药,159.76566539775692,103.1899735212326,74.07573458099753,-0.27061381230018844
卡前列素氨丁三醇注射液,辉瑞公司,118.35338448932889,101.29300107881427,102.10651059978136,-0.6812368961807411
卡培他滨片,江苏恒瑞,886.9116385032087,625.7863506317138,36.55128534012731,-0.6768159247717107
卡培他滨片,沪罗氏,452.23337930870264,353.32629508972167,,-8.925856900760353
卤米松_三氯生乳膏,瑞士,1012.5460151129038,889.9767993927002,86.04788503319953,-3.802273333615817
厄多司坦胶囊,浙康乐药业,1125.7685268770229,848.3479454040528,64.13504046004095,-0.4512717657566101
厄贝沙坦氢氯噻嗪片,杭州赛诺菲,1057.197238583519,848.5911563873291,97.42321192124628,-3.6404489363765764
厄贝沙坦片,赛诺菲,871.7144803146606,621.36552734375,63.65185001893666,-1.2270952210107549
参芎葡萄糖注射液,通化天实,462.2303756138159,354.2050531387329,69.96760569153338,-0.7163135288768678
参麦注射液,浙正大青春,811.3379672044556,654.070947265625,37.97196081406065,-0.9609376240768146
双歧杆菌三联活菌胶囊,申信谊,2011.2131594723462,1614.4700622558594,32.60797576943803,-1.708747823368265
双环醇片,京协和,2620.60970454548,2201.7280822753905,64.6283560970485,-0.5193864763999707
右旋酮洛芬氨丁三醇片,湖北安联,1037.8463806509496,801.8022804260254,47.31749990390001,-0.7641324485862737
合欢皮,统货,22.858058082344677,19.963884258270262,114.74777279610385,-0.2979203579487353
吗替麦考酚酯分散片,中美华东,1899.3684183508753,1493.2328607177735,89.02083673430398,-0.1359211319941016
吸入用异丙托溴铵溶液,勃林格殷格翰,11303.306014477028,9117.238568115234,149.53993743329767,-0.19588747654881256
吸入用硫酸沙丁胺醇溶液,苏州弘森,1359.0455574395985,916.0121711730957,110.26509030898599,-0.42284263278069023
哈西奈德溶液,辰欣佛都,528.804004616929,454.8873569488525,94.1832490739749,-0.4262137330406819
哌柏西利胶囊,德国辉瑞,8.043895978160498,6.190672499792917,41.06115553312378,-1.8537433509143697
噻托溴铵吸入喷雾剂,勃林格殷格翰,36.9440708875278,28.391263046264648,67.36416969754123,0.26568777312529
回生口服液,四川天府,313.3870083907675,252.9559711456299,63.27956050109371,-1.3353451632584474
固肾安胎丸,京勃然制药,1796.1677708818108,1516.4469717520255,37.56227907613734,-0.7248614551062267
地佐辛注射液,扬子江药业,5129.197371711897,4157.968729019165,94.75818270846463,-1.370662636784191
地塞米松磷酸钠注射液,鲁抗辰欣,749.5493170337742,564.5212850952148,63.77735649878521,0.069029949324385
地奥心血康软胶囊,成都地奥,725.2852944383369,534.6331893920899,49.23082101255414,-0.07383979419244469
地拉罗司分散片,诺华,105.0638083584312,93.8130419921875,84.29263485960796,-2.2970142851783626
地榆升白片,成都地奥天府,648.7732583496534,483.3033645629883,77.7291809356259,-2.6266481194140376
垂体后叶注射液,安徽宏业,437.7751679331119,279.16900146484375,41.49326850604852,-0.48449750027179395
培哚普利叔丁胺片,天津施维雅,489.22899397691936,483.2556625366211,164.5807700657673,-60.272165331459895
培唑帕尼片,葛兰素,19.752034528080454,15.292358040809631,52.260467238266905,-1.4663284685765214
培门冬酶注射液,苏恒瑞医药,6.834352195676487,5.3872932463884355,96.79444203325087,-1.717182660532171
塞来昔布胶囊,辉瑞制药,889.2653259533595,572.6990283966064,79.23398197187636,-0.04374609860692047
塞来昔布胶囊,青岛百洋,1854.916023280872,1552.045654296875,40.578212470721766,-3.128054073437326
复合磷酸氢钾注射液,津金耀,1424.8447083132796,1034.2633169054984,112.33570363733048,-1.0709389352416987
复方a酮酸片,京费森尤斯,784.8371864531159,666.8745956420898,44.67084226192323,-1.7399917880220315
复方丹参滴丸,津天士力,2449.416039963638,1942.48681640625,66.27315958005062,-0.20804588607279184
复方倍他米松注射液,杭州默沙东,752.445220859616,687.5103572845459,112.50227392456289,-0.01797268972387811
复方南星止痛膏,苏康缘,399.0371289795779,322.4336455345154,96.12198843394377,-1.112902221258977
复方托吡卡胺滴眼液,日本参天,262.8434900257515,224.23342938423156,102.78808452191409,-0.46180619338864215
复方氨基酸注射液[18AA2],华瑞,3114.8140836311068,2684.822399902344,100.69863442765057,-2.241488554697562
复方氨基酸注射液[9AA],皖丰原,723.3848791819768,647.8422912597656,76.02576168771736,-2.222646193337476
复方氯化钠注射液,石四药,207.1122294702022,149.79295501708984,39.25635984173744,-0.5775229326046241
复方消化酶胶囊,广东星昊,1109.206363295929,926.5855117797852,43.0009775990197,-2.0394096173589835
