药品名称,厂家,RMSE,MAE,SMAPE,R²
w3鱼油脂肪乳注射液,华瑞,356.27154425641294,271.6373237361317,34.660735904303834,0.11375903792796149
一次性使用注射笔用针头,苏碧迪,9363.518870411395,6032.510575470493,42.54591666747776,0.04441821822165548
一清胶囊,成都康弘,1122.6987687714134,824.6724221873811,36.528005931027,0.4141146795999756
丁硼乳膏,宁波立华,205.33144150967604,160.66498642615053,35.14183157618459,0.09236467948422888
丁苯酞氯化钠注射液,石药恩必普,489.3439733181433,282.0944930255237,65.81429153215899,0.6954900673757405
丁苯酞软胶囊,石药恩必普,439.9682347184623,342.3534275924465,30.37954929448618,0.5529341562510027
丁酸氢化可的松乳膏,津太平洋,93.61390683971688,68.97372454893535,29.068499629166837,-0.055109055682417196
七叶洋地黄双苷滴眼液,德国施图伦,4662.016488520117,3529.433398579051,33.087521075220664,0.11651712257787006
丙戊酸钠片,鲁仁和堂,96.57440221587352,75.87541295656384,65.26895111877951,0.01730475585929414
丙氨酰谷氨酰胺注射液,华瑞,573.299670974237,395.0956316487592,52.28728883460519,0.015922974553057023
丙氨酰谷氨酰胺注射液,哈三联,217.59692787589165,156.7425151942815,,-0.960605251178585
丙泊酚中_长链脂肪乳注射液,费森,667.9824528668272,475.12875519025584,,0.3623282756602769
中_长链脂肪乳注射液[C624],华瑞,573.8012643541545,429.27805892262387,64.80640196055056,0.29744435863423524
丹参,统货,18.900515971642427,12.758436697648499,,0.25761233901482694
乙磺酸尼达尼布软胶囊,勃林格殷格翰,19.682976205860246,14.315590632473418,,0.24599041027522572
二甲硅油乳剂,四川健能,1160.1837143173584,954.5966502179118,26.39535807614779,0.004507679529053732
二硫化硒洗剂,苏迪赛诺,312.46695784784896,243.49902974779266,55.09746042571867,-0.25514354042001175
二羟丙茶碱注射液,沪信谊金朱,457.0137827627871,259.35837647757353,,-2.9507581183916196
云南白药气雾剂,云南白药,85.95485460201947,59.33481766785085,,0.11284029183068023
人凝血因子8,华兰,414.5606876963108,276.50528749851935,,0.007051374722723214
人白介素2注射液,京四环,821.9730679605511,555.3234104127969,66.63049868454335,0.03249830657592989
人血白蛋白,同路生物,2086.245024977175,1340.8980107282862,75.11227908622931,-0.3749107390519504
人血白蛋白,百特,3596.398219566704,2219.0265739792053,33.16335683184918,-0.3886600395011919
他克莫司滴眼液,日本千寿,13.933632247365386,10.30531352727145,54.32777645319451,0.3538778061707022
他克莫司胶囊[普乐可复],爱尔兰,302.4413269410525,231.98099575972077,24.071240306944695,0.013168068897282392
他达拉非片,苏天士力,255.6298991536738,187.08487302279397,34.04098438140493,-0.4728872844569858
仙鹤草,统货,5.248927972038608,3.909985738151552,32.55172396303657,0.05898932877255403
低分子肝素钠注射液,意大利,5957.459949225411,4550.445754303617,,0.45805129173903236
依巴斯汀片,西班牙艾美,1107.119858376974,805.3660350778733,65.9208313857597,0.49249908571678047
依帕司他片,南京海陵,1813.9568097361569,1104.811194339623,25.875459228470937,0.5311117746134673
依托咪酯乳状注射液,江苏恩华,1755.8175968145606,1523.873720862923,33.98164672677715,0.17205356606383115
依托度酸缓释片,双鹭,810.4037160574093,591.1769898719024,29.272305429082955,0.5167819106505975
依西美坦片,辉瑞,106.85769745672994,56.51953749875477,35.32880861346695,0.502760156280779
依诺肝素钠注射液,赛诺菲,5455.419818007383,3694.270768943287,44.80398762930544,-0.2022922241265681
依那西普注射液,辉瑞,213.7959804009565,154.9650794337693,26.605228584470254,0.6453192054196597
保妇康栓,海南碧凯,681.8614329286906,513.0418881238454,51.88278400348386,0.18646536062715457
信迪利单抗注射液,信达生物,46.988251932898834,32.270489003540554,,0.722120357693425
克林霉素磷酸酯凝胶,鲁方明,312.81531885743203,251.9384495850413,31.982635826235907,0.48884153464841273
克痤隐酮凝胶,合肥立方,354.9655248408408,280.9369212954301,49.9028889627042,-0.07418826422550806
党参,统货,35.48679527681993,22.63244639800822,,0.1585818729287365
八珍颗粒,宁波立华,536.3982108465168,428.4286578192618,,0.21060442632409027
养心氏片,青岛国风,577.3347727511149,428.9779788052986,41.96421209450046,0.07762483834106781
养血清脑颗粒,津天士力,633.8699535807044,481.48810774473463,,-0.21589609900607276
冻干人凝血因子8,绿十字中国,310.0502471527952,223.59093476110544,,0.45143351724142544
利伐沙班片,德国拜耳,1332.793882847834,742.2367410846634,48.6825223269944,-1.1894957438649763
利可君片,苏吉贝尔,499.655639870022,355.8868137398951,35.45380265286894,0.011195543761843951
利奈唑胺葡萄糖注射液,费森尤斯,232.92780277050107,142.16992343261936,,0.08801658472031892
利妥昔单抗注射液,沪复宏汉霖,240.60857912836707,168.8727440242714,,-1.180559623304454
利巴韦林气雾剂,沪信谊总厂,2502.185915733816,1879.4088623930315,81.83241832184558,-0.8544303540632863
利拉鲁肽注射液,诺和诺德,121.27054336568598,88.21979082718762,47.36706974962442,0.46569209670410594
利格列汀片,勃林格殷格翰,2074.166041786869,1618.2308045112434,38.38967049653995,-0.09775239959633208
制五味子,统货,8.91256942608647,6.71447257215863,45.17739124666789,0.1872576329027077
制香附,统货,13.681060360187509,10.007553223531342,48.80019655697117,-0.7071838763124869
北沙参,统货,5.591529188316652,3.5926540557932007,,0.10465630680595117
华蟾素片,皖金蟾生化,743.5134794767647,463.1898092339875,55.05216484849389,-0.36723361325021275
单硝酸异山梨酯缓释片,锡阿斯利康,887.4269830358802,634.7410836880871,52.91626906435418,-0.016606725117303434
单硝酸异山梨酯缓释片,齐鲁制药,1291.4655812252083,992.1511417313719,90.05175630844514,-0.4659828240784485
卡前列素氨丁三醇注射液,常州四药,134.47731702898423,92.73240827603934,83.71909896554227,-0.1945119095065122
卡前列素氨丁三醇注射液,辉瑞公司,88.10023518466205,67.00681079247522,72.28522254335367,-0.026382632263152184
卡培他滨片,江苏恒瑞,873.9051242309896,611.4992979993675,36.995163935210165,-0.34897159448158543
卡培他滨片,沪罗氏,496.09962763543723,332.97478839520755,,-0.05887130296512355
卤米松_三氯生乳膏,瑞士,364.4734405043814,298.02982478632424,34.709287293494334,0.5836547864323551
厄多司坦胶囊,浙康乐药业,862.6129368792626,581.0438622293821,52.83821521260093,-0.11049896712552809
厄贝沙坦氢氯噻嗪片,杭州赛诺菲,1098.3809398673689,786.7610538319311,,-0.9025639944715291
厄贝沙坦片,赛诺菲,989.2935446941517,764.2282204557156,65.6840007919599,0.27150158248378653
参芎葡萄糖注射液,通化天实,489.8433852650106,390.30503533539775,,-0.30474136418035136
参麦注射液,浙正大青春,476.1157096824015,326.7276386270529,28.720990534240627,0.719359499584509
双歧杆菌三联活菌胶囊,申信谊,1417.6022534197593,1030.077487321342,,0.3873429253789642
双环醇片,京协和,1576.4323414193836,1043.1329270591432,30.608406586855313,0.26893104919381106
右旋酮洛芬氨丁三醇片,湖北安联,594.8748899922496,439.01784941818903,32.98335589653303,0.38493923448091427
合欢皮,统货,12.002119261134295,8.948493129762124,,0.486304653024228
吗替麦考酚酯分散片,中美华东,1059.6520845082794,694.9185602630706,,0.42913721187375875
吸入用异丙托溴铵溶液,勃林格殷格翰,11850.427360894666,8869.107807819706,,0.17594115573598457
吸入用硫酸沙丁胺醇溶液,苏州弘森,1331.2671335665748,981.4844029805386,103.4631691166187,-0.5970956858337815
哈西奈德溶液,辰欣佛都,406.1073368511776,306.09984739782794,,-0.006635359165533039
哌柏西利胶囊,德国辉瑞,9.831325759957146,7.33076579146519,47.16486895425992,-1.0861565754965583
噻托溴铵吸入喷雾剂,勃林格殷格翰,74.33423651676583,53.337950072127015,68.33872889102376,-3.164935891024074
回生口服液,四川天府,250.17725117532044,199.53881151589138,59.94812741220793,0.05937240742712291
