药品名称,厂家,start_date,减少数量,增加数量,期初金额(进价),期初金额占比,previous_增加数量,is_outlier,减少数量_adjusted
w3鱼油脂肪乳注射液,华瑞,2018-01-31,992.0,872.0,47556.0,1.0,,0,992.0
w3鱼油脂肪乳注射液,华瑞,2018-02-28,680.0,500.0,31704.0,1.0,872.0,1,695.6
w3鱼油脂肪乳注射液,华瑞,2018-03-31,944.0,1224.0,52840.0,1.0,500.0,0,944.0
w3鱼油脂肪乳注射液,华瑞,2018-04-30,660.0,640.0,52840.0,1.0,1224.0,1,663.0
w3鱼油脂肪乳注射液,华瑞,2018-05-31,260.0,200.0,68692.0,1.0,640.0,1,340.0
w3鱼油脂肪乳注射液,华瑞,2018-06-30,300.0,300.0,52840.0,1.0,200.0,0,300.0
w3鱼油脂肪乳注射液,华瑞,2018-07-31,420.0,400.0,21136.0,1.0,300.0,0,420.0
w3鱼油脂肪乳注射液,华瑞,2018-08-31,600.0,540.0,21136.0,1.0,400.0,0,600.0
w3鱼油脂肪乳注射液,华瑞,2018-09-30,560.0,500.0,10568.0,1.0,540.0,0,560.0
w3鱼油脂肪乳注射液,华瑞,2018-10-31,880.0,960.0,36988.0,1.0,500.0,1,813.9999999999999
w3鱼油脂肪乳注射液,华瑞,2018-11-30,720.0,780.0,0.0,1.0,960.0,0,720.0
w3鱼油脂肪乳注射液,华瑞,2018-12-31,740.0,640.0,47556.0,1.0,780.0,0,740.0
w3鱼油脂肪乳注射液,华瑞,2019-01-31,700.0,600.0,52840.0,1.0,640.0,0,700.0
w3鱼油脂肪乳注射液,华瑞,2019-02-28,200.0,240.0,21136.0,1.0,600.0,1,308.0
w3鱼油脂肪乳注射液,华瑞,2019-03-31,440.0,340.0,26420.0,1.0,240.0,0,440.0
w3鱼油脂肪乳注射液,华瑞,2019-04-30,560.0,420.0,0.0,1.0,340.0,0,560.0
w3鱼油脂肪乳注射液,华瑞,2019-05-31,420.0,740.0,15852.0,1.0,420.0,0,420.0
w3鱼油脂肪乳注射液,华瑞,2019-06-30,540.0,420.0,42272.0,1.0,740.0,0,540.0
w3鱼油脂肪乳注射液,华瑞,2019-07-31,700.0,680.0,0.0,1.0,420.0,0,700.0
w3鱼油脂肪乳注射液,华瑞,2019-08-31,520.0,500.0,21136.0,1.0,680.0,0,520.0
w3鱼油脂肪乳注射液,华瑞,2019-09-30,780.0,780.0,42272.0,1.0,500.0,1,756.0
w3鱼油脂肪乳注射液,华瑞,2019-10-31,640.0,600.0,36988.0,1.0,780.0,0,640.0
w3鱼油脂肪乳注射液,华瑞,2019-11-30,720.0,820.0,42272.0,1.0,600.0,0,720.0
w3鱼油脂肪乳注射液,华瑞,2019-12-31,880.0,1180.0,26420.0,1.0,820.0,1,849.9999999999999
w3鱼油脂肪乳注射液,华瑞,2020-01-31,480.0,360.0,63408.0,1.0,1180.0,1,492.0
w3鱼油脂肪乳注射液,华瑞,2020-02-29,380.0,400.0,42272.0,1.0,360.0,1,410.0
